epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1223.43,0.63658,0.32274,0.79339,0.99571,0.67155,0.83445,0.7023,0.62038,0.31696,0.79263,0.00055559,0.00055559,0.00055559
2,2422.28,0.66256,0.34294,0.79642,0.99756,0.66544,0.83202,0.7068,0.60351,0.31656,0.79297,0.00105625,0.00105625,0.00105625
3,3616.73,0.67201,0.34725,0.79735,0.99409,0.66062,0.82819,0.68482,0.61427,0.32055,0.79381,0.0015019,0.0015019,0.0015019
4,4803.01,0.66891,0.34497,0.79808,0.9966,0.66227,0.83008,0.70773,0.60456,0.31237,0.7923,0.00141945,0.00141945,0.00141945
5,5989.14,0.66606,0.34463,0.79764,0.99663,0.66721,0.83248,0.70904,0.59845,0.30822,0.79156,0.00133693,0.00133693,0.00133693
6,7179.53,0.66039,0.34123,0.7965,0.99604,0.67568,0.83675,0.70798,0.60112,0.31002,0.79291,0.00125442,0.00125442,0.00125442
7,8369.91,0.65817,0.33753,0.79553,0.99832,0.65357,0.82624,0.70757,0.59414,0.30493,0.7914,0.0011719,0.0011719,0.0011719
8,9560.2,0.65215,0.33624,0.79525,0.99775,0.66932,0.83395,0.71552,0.58974,0.30132,0.79115,0.00108938,0.00108938,0.00108938
9,10752.2,0.64269,0.3291,0.79474,0.99804,0.6697,0.83427,0.71418,0.58593,0.30057,0.7906,0.00100687,0.00100687,0.00100687
10,11945.3,0.63806,0.327,0.79419,0.998,0.6682,0.83352,0.7167,0.57588,0.29487,0.7895,0.000924352,0.000924352,0.000924352
11,13164,0.64945,0.32929,0.79216,0.99842,0.67438,0.8367,0.71808,0.59003,0.29945,0.7918,0.000841835,0.000841835,0.000841835
12,14351.9,0.63978,0.32625,0.79126,0.9985,0.67349,0.83619,0.7124,0.58762,0.30015,0.79045,0.000759318,0.000759318,0.000759318
13,15537.5,0.63119,0.32129,0.79005,0.9971,0.66736,0.83271,0.69967,0.58785,0.29863,0.79048,0.000676802,0.000676802,0.000676802
14,16724.4,0.61783,0.31564,0.789,0.99665,0.67026,0.83402,0.70887,0.5826,0.29536,0.79001,0.000594286,0.000594286,0.000594286
15,17912.6,0.61127,0.3116,0.78897,0.99748,0.6764,0.83728,0.72413,0.57421,0.28986,0.78925,0.000511769,0.000511769,0.000511769
16,19098.3,0.60017,0.3035,0.78787,0.99624,0.67645,0.83698,0.72161,0.56954,0.28501,0.78891,0.000429253,0.000429253,0.000429253
17,20285.1,0.59672,0.30084,0.78693,0.99838,0.67795,0.83831,0.72299,0.56739,0.28228,0.78841,0.000346736,0.000346736,0.000346736
18,21471.8,0.58716,0.29644,0.78521,0.99725,0.67599,0.83694,0.72429,0.55866,0.27887,0.78743,0.00026422,0.00026422,0.00026422
19,22654.4,0.57503,0.28978,0.78576,0.99756,0.67879,0.83848,0.7246,0.56225,0.27699,0.78775,0.000181703,0.000181703,0.000181703
20,23838.8,0.56703,0.28634,0.78547,0.99861,0.68001,0.83932,0.72923,0.55675,0.27432,0.78736,9.91865e-05,9.91865e-05,9.91865e-05
